tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetCreated,userScreen,userName,userLocation,cause
1379040315999404034,"Portland “racial justice” achievement from #antifa, Black Lives Matter, @JoAnnPDX and @tedwheeler. 2021 is on track… https://t.co/6wFHO7LQD1",579,1540,2021-04-05 11:56:47,MrAndyNgo,Andy Ngô,"US, UK",black lives matter
1379220540683137025,"Nolte: Maya Echols, a prominent Black Lives Matter activist, threatened that cities will be “on fire” if Derek Chau… https://t.co/u8AdUThGa0",244,293,2021-04-05 23:52:56,BreitbartNews,Breitbart News,,black lives matter
1379210672517566466,Just a reminder that Black lives still matter. We still have to fight against Asian hate. And the LGBTQIA+ communit… https://t.co/ITj0PCZWQV,97,581,2021-04-05 23:13:43,ariivory,Arielle (Ari) Chambers,,black lives matter
1378831211842449409,"""As BLM was met w/all lives matter/blue lives matter, it became clear that these weren’t about equality/law enforce… https://t.co/vymL92VrtV",115,334,2021-04-04 22:05:53,Iron_Spike,Iron Spike,,black lives matter
1378702658832367617,"Christians should be the first ones wearing masks in a pandemic, the first ones welcoming refugees, the first ones… https://t.co/BaQ5aReQ0I",118,453,2021-04-04 13:35:03,johnpavlovitz,John Pavlovitz,"Wake Forest, NC",black lives matter
1378838846310260738,"9 months after racial justice protests swept across New York City &amp; videos showed police punching, kicking &amp; trappi… https://t.co/CvnLn9zLfD",108,136,2021-04-04 22:36:13,propublica,ProPublica,"New York, NY",black lives matter
1379075393970397186,Ndona Muboyayi is an incredibly brave person https://t.co/039uBk2QY3,89,411,2021-04-05 14:16:10,benshapiro,Ben Shapiro,,black lives matter
1378487907619635200,Remember that time a woman bombed the US Capitol to try to kill Republicans but then Clinton pardoned her and now s… https://t.co/HpaW9PIRhb,3911,8341,2021-04-03 23:21:42,TimRunsHisMouth,Tim Young,Texas,black lives matter
1379088221242601476,"The commission was launched after the Black Lives Matter protests last year.

In a new report, controversial conclu… https://t.co/P1uqV3qzeO",55,172,2021-04-05 15:07:08,bopinion,Bloomberg Opinion,Worldwide,black lives matter
1378835083973562369,Today marks the 53rd anniversary of the assassination of Martin Luther King Jr. In a year marred by continuing stru… https://t.co/t1oailYsOp,54,122,2021-04-04 22:21:16,NewsHour,PBS NewsHour,"Arlington, VA | New York, NY",black lives matter
1378819167621615616,As many as 26 million people in the United States participated in Black Lives Matter protests in the wake of Floyd’… https://t.co/KZguspU4kN,29,62,2021-04-04 21:18:01,thenation,The Nation,,black lives matter
1379104434555252736,"Singer @AmyLeeEV discussed the new Evanescence album, and her thoughts about the Black Lives Matter movement https://t.co/bAUgyWFSqr",24,74,2021-04-05 16:11:34,latimes,Los Angeles Times,"El Segundo, CA",black lives matter
1378859501995053059,"Are You Willing to Give Up Your Privilege
Philanthropy alone won’t save the American dream.

By ⁦@DarrenWalker, pre… https://t.co/stpFigefHz",37,170,2021-04-04 23:58:17,MiaFarrow,Mia Farrow,USA ,black lives matter
1379024012467003395,"""As the Black Lives Matter protests highlighted so powerfully, too many people’s lives both in the UK and across th… https://t.co/xCzXkLvwNK",35,56,2021-04-05 10:52:00,LibDems,Liberal Democrats,United Kingdom,black lives matter
1378892301146198017,‘Healing hikes’: How one Oakland organization is making Black lives matter in nature - San Francisco Chronicle.  Co… https://t.co/C4oKF8oI7M,17,79,2021-04-05 02:08:37,PamGrier,Pam Grier Ph.D,Paradise ,black lives matter
1377004004144783366,"Jesus.

Not only did #DerekChauvin kill #GeorgeFloyd, but then, they didn’t let an EMT help.

If after seeing evide… https://t.co/3D2HE8e91v",5814,29741,2021-03-30 21:05:12,ananavarro,Ana Navarro-Cárdenas,"Coral Gables, Fl",black lives matter
1378442287701655554,I interviewed Ndona Muboyayi. She worries that the public school system is teaching her Black children in ways that… https://t.co/SLaUlycz9R,688,1963,2021-04-03 20:20:26,conor64,Conor Friedersdorf,,black lives matter
1378409399782281220,"Me.
Democrat. Yes
Veteran. Yes
Liberal. Yes
VAWA. Yes.
Term Limits. Yes
Nuke Filibuster. Yes
Ratify The ERA. Yes
Bl… https://t.co/1tt4UxPUJM",2187,9571,2021-04-03 18:09:45,BrunoAmato_1,Bruno Amato 🇺🇸 4 Congress CA23,"California, USA",black lives matter
1378440406761943052,How could this be? They painted Black Lives Matter on the street! https://t.co/rmmhfxkqnU,246,1988,2021-04-03 20:12:57,JordanUhl,jordan,"Washington, D.C.",black lives matter
1377320821002231808,Some say they can’t watch #DerekChauvin trial. It’s too hard. It causes anxiety. How can it not? But we need to wat… https://t.co/BfLaKlu5wE,1106,5353,2021-03-31 18:04:07,ananavarro,Ana Navarro-Cárdenas,"Coral Gables, Fl",black lives matter
